replicate,scenario,geometry,habitat_patches,graph_nodes,graph_edges,total_corridor_length,failed_edges,final_persistent_species,long_run_persistent_species,recent_persistent_species,persistent_species_per_length,final_mean_occupancy,recent_evenness,recent_regional_total,recent_regional_total_cv,recent_relative_trend_per_1000_steps,quasi_stationary_flag,species_extinctions,mean_extinction_step
6.000000,costly_movement,nearest_web,50.000000,50.000000,103.000000,10.446768,0.000000,11.000000,11.000000,11.000000,1.052957,0.483333,0.869478,9858.794457,0.000000,0.000000,1.000000,1.000000,1793.000000
6.000000,costly_movement,minimum_spanning_tree,50.000000,50.000000,49.000000,3.764721,0.000000,11.000000,11.000000,11.000000,2.921863,0.483333,0.869132,9842.119980,0.000000,0.000000,1.000000,1.000000,1689.000000
6.000000,costly_movement,dendritic_tree,50.000000,85.000000,84.000000,7.655831,0.000000,11.000000,11.000000,11.000000,1.436813,0.468333,0.869101,9830.457809,0.000000,-0.000000,1.000000,1.000000,2490.000000
6.000000,costly_movement,hybrid_dendritic,50.000000,85.000000,90.000000,8.369912,0.000000,11.000000,11.000000,11.000000,1.314231,0.480000,0.869946,9827.429956,0.000000,-0.000000,1.000000,1.000000,3014.000000
6.000000,edge_disturbance,nearest_web,50.000000,50.000000,103.000000,10.446768,0.000000,11.000000,11.000000,11.000000,1.052957,0.483333,0.869478,9892.397647,0.000000,-0.000000,1.000000,1.000000,1736.000000
6.000000,edge_disturbance,minimum_spanning_tree,50.000000,50.000000,49.000000,3.764721,0.000000,11.000000,11.000000,11.000000,2.921863,0.485000,0.869067,9874.017514,0.000000,0.000000,1.000000,1.000000,1619.000000
6.000000,edge_disturbance,dendritic_tree,50.000000,85.000000,84.000000,7.655831,0.000000,11.000000,11.000000,11.000000,1.436813,0.468333,0.868987,9870.683254,0.000000,-0.000000,1.000000,1.000000,2342.000000
6.000000,edge_disturbance,hybrid_dendritic,50.000000,85.000000,90.000000,8.369912,0.000000,11.000000,11.000000,11.000000,1.314231,0.481667,0.869889,9867.178218,0.000000,-0.000000,1.000000,1.000000,2807.000000
7.000000,benign_long_run,nearest_web,50.000000,50.000000,96.000000,8.914624,0.000000,12.000000,12.000000,12.000000,1.346103,0.451667,0.897596,9148.835880,0.000000,0.000000,1.000000,0.000000,
7.000000,benign_long_run,minimum_spanning_tree,50.000000,50.000000,49.000000,3.554161,0.000000,12.000000,12.000000,12.000000,3.376324,0.450000,0.897846,9137.813668,0.000000,0.000000,1.000000,0.000000,
7.000000,benign_long_run,dendritic_tree,50.000000,85.000000,84.000000,7.092126,0.000000,12.000000,12.000000,12.000000,1.692017,0.438333,0.898334,9137.136895,0.000000,0.000000,1.000000,0.000000,
7.000000,benign_long_run,hybrid_dendritic,50.000000,85.000000,90.000000,7.532412,0.000000,12.000000,12.000000,12.000000,1.593115,0.446667,0.898102,9138.381573,0.000000,0.000000,1.000000,0.000000,
7.000000,costly_movement,nearest_web,50.000000,50.000000,96.000000,8.914624,0.000000,12.000000,12.000000,12.000000,1.346103,0.451667,0.897187,9098.344223,0.000000,0.000000,1.000000,0.000000,
7.000000,costly_movement,minimum_spanning_tree,50.000000,50.000000,49.000000,3.554161,0.000000,12.000000,12.000000,12.000000,3.376324,0.446667,0.897265,9083.054502,0.000000,0.000000,1.000000,0.000000,
7.000000,costly_movement,dendritic_tree,50.000000,85.000000,84.000000,7.092126,0.000000,12.000000,12.000000,12.000000,1.692017,0.435000,0.897532,9064.904190,0.000000,0.000000,1.000000,0.000000,
7.000000,costly_movement,hybrid_dendritic,50.000000,85.000000,90.000000,7.532412,0.000000,12.000000,12.000000,12.000000,1.593115,0.440000,0.897345,9074.633544,0.000000,0.000000,1.000000,0.000000,
7.000000,edge_disturbance,nearest_web,50.000000,50.000000,96.000000,8.914624,0.000000,12.000000,12.000000,12.000000,1.346103,0.451667,0.897470,9123.443362,0.000000,0.000000,1.000000,0.000000,
7.000000,edge_disturbance,minimum_spanning_tree,50.000000,50.000000,49.000000,3.554161,0.000000,12.000000,12.000000,12.000000,3.376324,0.450000,0.897521,9106.978678,0.000000,0.000000,1.000000,0.000000,
7.000000,edge_disturbance,dendritic_tree,50.000000,85.000000,84.000000,7.092126,0.000000,12.000000,12.000000,12.000000,1.692017,0.435000,0.897883,9095.862181,0.000000,0.000000,1.000000,0.000000,
7.000000,edge_disturbance,hybrid_dendritic,50.000000,85.000000,90.000000,7.532412,0.000000,12.000000,12.000000,12.000000,1.593115,0.443333,0.897687,9102.578981,0.000000,0.000000,1.000000,0.000000,
8.000000,benign_long_run,nearest_web,50.000000,50.000000,100.000000,9.530345,0.000000,12.000000,12.000000,12.000000,1.259136,0.496667,0.899198,9927.211759,0.000000,0.000000,1.000000,0.000000,
